"Галочка","№","Фаза","Задача","Кто","Сложность","Время","Статус","Простыми словами","Зачем","Файлы","Что сделать","Готово когда"
FALSE,"1","1. Базовые CRUD Финансов","Схемы Финансов и Аналитики","Бэкенд","Средняя","1-2ч","Не начато","Описать в каком виде счета; операции; контрагенты; цели; зарплаты; задачи и события ходят между сервером и фронтом.","Контракт данных — фундамент всех задач эпика; фронт-типы уже существуют и диктуют поля.","back/schemas/finances/accounts.py; operations.py; salary.py; новый goals.py; back/schemas/analytics/reports.py; tasks.py; оба __init__.py","Заполнить заготовки: AccountRead/Create/Update; OperationRead/Create; CounterpartyRead/Create/Update; FinDocumentRead/Create; GoalRead/Create/Update; SalaryRead; StudioTaskRead/Create/Update; ActivityLogRead — наследовать BaseSchema из back/schemas/_base.py; поля строго 1:1 с front/src/api/finances/finances.types.ts и analytics/analytics.types.ts.","Все схемы импортируются; поля совпадают с фронт-типами; суммы Integer как в моделях."
FALSE,"2","1. Базовые CRUD Финансов","Счета: список; создание; правка","Бэкенд","Средняя","1-2ч","Не начато","Сервер отдаёт счета студии (касса; расчётный; эквайринг) и позволяет добавить свой счёт.","Вкладка Счета и кассы сейчас рисует выдуманные балансы.","back/routers/finances/accounts.py","GET /finances/accounts; POST; PATCH /{id}; DELETE /{id} с require_role(owner) и скоупом studio_id через get_studio_context; daily_change НЕ хранить — считать на лету как сумму операций счёта за сегодня.","Через Swagger счёт создаётся; список отдаёт балансы; чужой studio_id недоступен; daily_change меняется после операции за сегодня."
FALSE,"3","1. Базовые CRUD Финансов","Операции: пагинированный список с фильтрами","Бэкенд","Сложная","1-2ч","Не начато","Отдавать доходы и расходы порциями с фильтрами по типу; категории; счёту; датам и поиском.","Главная таблица финансов; на тысячах операций без пагинации фронт умрёт.","back/routers/finances/operations.py","GET /finances/operations в обёртке Page[OperationRead] (контракт Эпика 1 из back/schemas/common.py); фильтры type; category; account_id; client_id; date_from; date_to; search по title; offset/limit; сортировка по op_date DESC.","Ответ содержит items и total; фильтр по типу и датам сужает выборку; порция 20 штук при total = реальному числу в базе."
FALSE,"4","1. Базовые CRUD Финансов","Операции: создание и баланс счёта","Бэкенд","Средняя","1-2ч","Не начато","Создание дохода/расхода сразу двигает баланс привязанного счёта.","Единый источник денежных фактов; на нём стоит вся аналитика эпика.","back/routers/finances/operations.py","POST /finances/operations по OperationCreate; проставить studio_id; проверить принадлежность account_id/client_id/counterparty_id студии; при type=in прибавить amount к Account.balance; при type=out вычесть; DELETE /{id} с откатом баланса.","Создал доход 1000 — баланс счёта вырос на 1000; удалил — вернулся; операция с чужим account_id даёт 404."
FALSE,"5","1. Базовые CRUD Финансов","Контрагенты и Документы: CRUD","Бэкенд","Средняя","1-2ч","Не начато","Сервер хранит юрлиц/ИП/физлиц и документы (акты; счета; договоры) со статусами.","Две вкладки Финансов сейчас полностью нарисованные.","новые back/routers/finances/counterparties.py и documents.py; подключить в back/routers/finances/router.py","Контрагенты: GET/POST/PATCH/DELETE; balance и deals_count считать на лету из операций GROUP BY counterparty_id. Документы: GET/POST/PATCH статуса (draft/pending/signed); DELETE; файл в MVP опционален — паттерн загрузки есть в back/routers/studio/media.py.","Контрагент создаётся; его deals_count растёт после привязанной операции; документ меняет статус и переживает перезапуск."
FALSE,"6","1. Базовые CRUD Финансов","Цели: CRUD с авто-прогрессом","Бэкенд","Средняя","1-2ч","Не начато","Финансовые цели студии; прогресс либо вводится руками либо сам считается из операций.","Вкладка Цели по ТЗ имеет авто/ручной режим (tracking_mode уже в модели).","новый back/routers/finances/goals.py; back/schemas/finances/goals.py; подключить в finances/router.py","GET/POST/PATCH/DELETE /finances/goals; при tracking_mode=auto current_amount на лету = SUM доходных операций категории цели от created_at до deadline; при manual — брать из PATCH.","Авто-цель категории Абонементы растёт после дохода этой категории; ручная цель меняется только через PATCH."
FALSE,"7","1. Базовые CRUD Финансов","Зарплаты: расчёт и выплата","Бэкенд","Сложная","1-2ч","Не начато","Посчитать зарплату тренера из его занятий и ставки; выплата помечает расчёт и создаёт расходную операцию.","Вкладка Зарплаты плюс замыкание денег: выплата сама попадает в расходы и отчёты.","back/routers/finances/salary.py","GET /finances/salaries?period_start&period_end — по каждому тренеру sessions_count = COUNT занятий (Lesson по teacher_id за период; status != cancelled) и amount по User.rate/rate_type; POST /finances/salaries/{user_id}/pay — создать SalaryPayment со снапшотом ставки + расходную Operation категории Зарплата. Требует занятий из Эпика 2.","Расчёт совпадает с числом занятий тренера в Журнале; после выплаты есть SalaryPayment со status=paid и расходная операция на ту же сумму."
FALSE,"8","2. Агрегация Аналитики","Сводка периода с трендами","Бэкенд","Сложная","1-2ч","Не начато","Один эндпоинт отдаёт выручку; расходы; прибыль; средний чек; активных клиентов; записи и удержание за период плюс сравнение с прошлым периодом.","Сердце эпика: питает 4 метрики Дашборда; Отчёты и вкладку Отчёты Финансов.","back/routers/analytics/reports.py","GET /analytics/summary?date_from&date_to: SUM операций in/out; avg_check = выручка/число доходных операций; bookings = COUNT активных Reservation; active_clients = COUNT клиентов с визитом; retention = доля клиентов прошлого периода вернувшихся в текущем; посещаемость и визиты — по Reservation.status=attended (отметка посещения — Эпик 2 задача 18); блок trends — те же цифры за предыдущий период той же длины и % изменения; только SQLAlchemy SUM/COUNT/GROUP BY — никаких снапшотов.","Swagger отдаёт сводку за месяц; цифры сходятся с ручным подсчётом по таблицам; trends показывает знак изменения."
FALSE,"9","2. Агрегация Аналитики","Ряды для графиков","Бэкенд","Средняя","1-2ч","Не начато","Отдать точки график-ряда (выручка/записи/клиенты по дням-неделям-месяцам).","График Дашборда; графики Отчётов и линия доход/расход Финансов — один эндпоинт.","back/routers/analytics/reports.py","GET /analytics/series?metric=revenue|expenses|bookings|new_clients&group=day|week|month&date_from&date_to через func.date_trunc GROUP BY; ответ список {period; value}.","За месяц с group=day приходит ~30 точек; сумма точек revenue равна выручке из /summary за тот же период."
FALSE,"10","2. Агрегация Аналитики","Срезы по тренерам и услугам","Бэкенд","Средняя","1-2ч","Не начато","Таблицы по тренерам (занятия; выручка) и по услугам (выручка; доля) за период.","Вкладки Отчётов По тренерам и По услугам плюс сводные виджеты Дашборда.","back/routers/analytics/reports.py","GET /analytics/trainers?date_from&date_to — по каждому тренеру COUNT занятий; выручка из операций по trainer_id; GET /analytics/services — выручка по category/service операций; доля в % от общей.","Оба эндпоинта отдают реальные строки; сумма выручки по тренерам не превышает общую из /summary."
FALSE,"11","2. Агрегация Аналитики","Задачи на сегодня и лента событий","Бэкенд","Средняя","1-2ч","Не начато","Простой CRUD задач владельца плюс чтение ленты что произошло в студии с автозаписью событий.","Два виджета Дашборда; лента по ROADMAP наполняется каждым эпиком.","новый back/routers/analytics/tasks.py; back/routers/analytics/reports.py; подключить в analytics/router.py; точки записи в back/routers/finances/operations.py и back/routers/clients/profiles.py","CRUD /analytics/tasks под StudioTask (совпасть с analyticsApi: getTasks/createTask/updateTask/deleteTask); GET /analytics/activity (ActivityLog; limit; DESC); хелпер log_activity() и вызовы из создания операции; создания клиента; записи на занятие.","Задача создаётся/выполняется/удаляется через Swagger; после создания клиента и операции в /activity появились две записи."
FALSE,"12","3. Фронт Финансов","Счета и Операции на реальном API","Фронтенд","Сложная","1-2ч","Не начато","Две главные вкладки Финансов показывают реальные данные; операции грузятся порциями с кнопкой Загрузить ещё.","Ядро раздела Финансы перестаёт быть декорацией.","front/src/pages/dashboard/Finances/components/tabs/AccountsTab.tsx; OperationsTab.tsx; Finances/constants.ts; Finances/types.ts; front/src/api/finances/finances.api.ts и finances.types.ts","Дополнить financesApi: updateAccount; deleteOperation; фильтры и offset/limit в getOperations с типом Page; выпилить ACCOUNTS_DATA и OPERATIONS_DATA из constants.ts; типы вкладок переписать под api-типы; производные поля (client_name; цвета) — адаптерами по CLAUDE.md §8; фильтры вкладки — серверные параметры; Загрузить ещё по total.","Создал операцию в UI — баланс счёта обновился; F5 ничего не сбрасывает; Загрузить ещё дотягивает следующую порцию."
FALSE,"13","3. Фронт Финансов","Контрагенты и Документы на API","Фронтенд","Средняя","1-2ч","Не начато","Вкладки контрагентов и документов работают с сервером вместо моков.","Ещё две вкладки Финансов становятся настоящими.","front/src/pages/dashboard/Finances/components/tabs/CounterpartiesTab.tsx; DocumentsTab.tsx; front/src/api/finances/finances.api.ts","Дополнить financesApi: updateCounterparty; deleteCounterparty; getDocuments; createDocument; updateDocument; deleteDocument; убрать COUNTERPARTIES_DATA и DOCUMENTS_DATA; подключить модалки создания/правки к API.","Контрагент и документ создаются/правятся/удаляются из UI и переживают F5; deals_count реальный."
FALSE,"14","3. Фронт Финансов","Цели и Зарплаты на API","Фронтенд","Средняя","1-2ч","Не начато","Вкладка целей показывает реальный прогресс; вкладка зарплат — реальные расчёты по тренерам с кнопкой Выплатить.","Замыкает все MVP-вкладки Финансов (кроме отложенных онлайн-платежей).","front/src/pages/dashboard/Finances/components/tabs/GoalsTab.tsx; SalariesTab.tsx; front/src/api/finances/finances.api.ts","Дополнить financesApi: createGoal; updateGoal; deleteGoal; paySalary; убрать GOALS_DATA и SALARIES_DATA; Выплатить вызывает POST pay и обновляет статус.","Прогресс авто-цели растёт после операции; Выплатить помечает строку и создаёт видимую в Операциях расходную запись."
FALSE,"15","4. Дашборд и Отчёты","Дашборд на реальные агрегаты","Фронтенд","Сложная","1-2ч","Не начато","Все виджеты Обзора (4 метрики с трендами; график; лента; задачи; сводки) переходят с моков на эндпоинты аналитики.","Первый экран продукта перестаёт врать; ноль дублирования логики — только готовые эндпоинты.","front/src/pages/dashboard/Overview/Overview.tsx; constants.ts; hooks/useDashboardChart.ts; components/widgets/MetricsRow.tsx; AnalyticsChart.tsx; TodayTasksWidget.tsx; RecentEventsBoard.tsx; SummaryWidgets.tsx","Метрики и тренды из /analytics/summary за месяц; график из /analytics/series; лента из /analytics/activity; виджет задач — CRUD /analytics/tasks (analyticsApi уже типизирован — только подключить); сводки из /analytics/trainers и /analytics/services; выпилить METRICS; chartData; RECENT_EVENTS; TASKS из constants.ts; состояния загрузки.","Открыл Дашборд — цифры совпадают с Финансами и Журналом; добавил задачу — она в базе; лента показывает реальные события."
FALSE,"16","4. Дашборд и Отчёты","Отчёты на агрегаты и честный экспорт","Фронтенд","Сложная","1-2ч","Не начато","Страница Отчётов и вкладка Отчёты Финансов берут цифры из аналитики; экспорт CSV выгружает реальные данные.","Закрывает раздел Отчёты; экспорт перестаёт выгружать выдумку.","front/src/pages/dashboard/Reports/hooks/useReportData.ts; useDateRange.ts; components/tabs/TabOsnovnye.tsx; TabTrenery.tsx; TabUslugi.tsx; TabProdazhi.tsx; hooks/useExport.ts; front/src/pages/dashboard/Finances/components/tabs/ReportsTab.tsx","Заменить множительную логику useReportData реальными вызовами analyticsApi (summary; series; trainers; services) по выбранному периоду; в exportCSV передавать реальные строки таблиц; ReportsTab Финансов перевести на те же вызовы; PDF оставить window.print.","Смена периода меняет цифры через реальные запросы (видно в Network); скачанный CSV содержит данные из базы; вкладка Отчёты Финансов совпадает со страницей Отчётов."
FALSE,"17","4. Дашборд и Отчёты","Бейджи меню на реальные данные","Фронтенд","Простая","1ч","Не начато","Захардкоженные счётчики в боковом меню (142 клиента; 3 уведомления) заменить реальными цифрами.","Сквозная задача ROADMAP; выдуманные цифры в меню видны на каждой странице продукта.","front/src/layouts/DashboardLayout.tsx (строки с nav-badge)","Счётчик клиентов — total списка клиентов (контракт Эпика 1); счётчик записей/уведомлений — /analytics/summary или скрыть бейдж до появления реального источника; убрать захардкоженные 142 и 3.","Бейджи совпадают с данными в базе; после добавления клиента счётчик вырос"
